

New start of logging. Datetime: 2022.10.01_112457 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'10/01/2022 11:24:57;16,5;16;1001,5;16,8;13,1;1,8;-7,4;555,7;1050,0;350,0;-280,0;1,7;15,0;-100,0;4,21;0,01
'10/01/2022 11:24:58;16,5;16;1001,5;16,8;13,1;2,6;-10,7;811,5;140,0;-140,0;-70,0;1,7;11,3;-100,0;4,21;0,01
'10/01/2022 11:24:59;16,5;16;1001,5;16,8;13,2;2,9;-12,0;922,9;-70,0;-70,0;-70,0;2,4;19,0;-100,0;4,21;0,01
'10/01/2022 11:25:00;16,5;16;1001,4;16,8;13,2;3,3;-12,6;968,4;-140,0;0,0;0,0;3,4;17,7;-100,0;4,21;0,01
'10/01/2022 11:25:01;16,5;16;1001,5;16,8;13,2;3,4;-12,9;991,1;0,0;-70,0;0,0;3,8;27,4;-100,0;4,21;0,01
'10/01/2022 11:25:02;16,5;16;1001,3;16,8;13,2;3,5;-13,2;1001,3;280,0;-140,0;-70,0;5,5;50,0;-100,0;4,21;0,01
'10/01/2022 11:25:03;16,5;16;1001,4;16,8;13,3;3,2;-13,8;1005,9;-280,0;70,0;0,0;5,9;69,6;-100,0;4,21;0,01
'10/01/2022 11:25:04;16,5;16;1001,5;16,9;13,3;3,4;-13,8;1008,0;0,0;-140,0;-70,0;6,0;76,3;-100,0;4,21;0,01
'10/01/2022 11:25:05;16,5;16;1001,4;16,9;13,3;3,3;-13,7;1008,8;0,0;-70,0;0,0;6,1;75,8;-100,0;4,21;0,01
'10/01/2022 11:25:06;16,5;16;1001,4;16,9;13,3;3,5;-13,4;1009,1;-140,0;70,0;0,0;6,0;77,4;-100,0;4,21;0,01
'10/01/2022 11:25:07;16,5;16;1001,4;16,9;13,3;3,5;-13,7;1009,1;-70,0;-70,0;-70,0;6,1;73,7;-100,0;4,21;0,01
'10/01/2022 11:25:08;16,5;16;1001,4;16,9;13,3;3,5;-13,9;1009,0;-70,0;0,0;0,0;6,0;69,8;-100,0;4,21;0,01
'10/01/2022 11:25:09;16,5;16;1001,5;16,8;13,3;3,4;-14,0;1009,0;-70,0;-70,0;-70,0;5,9;67,6;-100,0;4,21;0,01
'10/01/2022 11:25:10;16,5;16;1001,4;16,9;13,3;3,2;-14,2;1008,9;0,0;-70,0;0,0;5,7;65,1;-100,0;4,21;0,01
'10/01/2022 11:25:11;16,5;16;1001,4;16,9;13,3;3,5;-14,2;1008,8;-70,0;140,0;0,0;5,6;66,8;-100,0;4,21;0,01
'10/01/2022 11:25:11;16,5;16;1001,4;16,9;13,3;3,5;-14,0;1008,9;210,0;-70,0;-70,0;5,7;76,7;-100,0;4,21;0,01
'10/01/2022 11:25:12;16,5;16;1001,4;16,9;13,3;3,2;-13,9;1009,0;70,0;-70,0;0,0;6,4;100,1;-100,0;4,21;0,01
'10/01/2022 11:25:13;16,5;16;1001,4;16,9;13,3;3,5;-13,8;1009,1;70,0;210,0;0,0;6,6;102,9;-100,0;4,21;0,01
'10/01/2022 11:25:14;16,6;16;1001,4;16,9;13,3;3,2;-13,8;1009,2;70,0;-70,0;0,0;6,6;105,0;-100,0;4,21;0,01
'10/01/2022 11:25:15;16,6;16;1001,5;16,9;13,3;3,5;-14,5;1009,5;0,0;70,0;-70,0;6,6;105,9;-100,0;4,21;0,01
'10/01/2022 11:25:16;16,6;16;1001,5;16,9;13,3;3,9;-14,9;1009,5;0,0;0,0;0,0;6,7;108,2;-100,0;4,21;0,01
'10/01/2022 11:25:17;16,6;16;1001,4;16,9;13,4;3,8;-14,9;1009,4;-70,0;-210,0;0,0;6,7;108,9;-100,0;4,21;0,01
'10/01/2022 11:25:18;16,6;16;1001,5;16,9;13,4;3,8;-15,1;1009,3;0,0;0,0;-70,0;6,6;107,6;-100,0;4,21;0,01
'10/01/2022 11:25:19;16,6;16;1001,4;16,9;13,4;3,7;-15,1;1009,3;-140,0;70,0;0,0;6,5;109,3;-100,0;4,21;0,01
'10/01/2022 11:25:20;16,6;16;1001,4;17,0;13,4;3,8;-15,1;1009,4;-70,0;210,0;-70,0;6,4;106,1;-100,0;4,21;0,01
'10/01/2022 11:25:21;16,6;16;1001,3;17,0;13,4;3,8;-15,1;1009,5;-70,0;0,0;-70,0;6,4;107,4;-100,0;4,21;0,01
'10/01/2022 11:25:22;16,6;16;1001,5;17,0;13,4;3,7;-15,0;1009,5;0,0;-140,0;0,0;6,5;108,5;-100,0;4,21;0,01
'10/01/2022 11:25:23;16,6;17;1001,4;17,0;13,4;3,7;-14,6;1009,4;-70,0;0,0;0,0;6,7;112,6;-100,0;4,21;0,01
'10/01/2022 11:25:24;16,6;17;1001,4;17,0;13,4;3,7;-14,4;1009,5;0,0;0,0;0,0;6,7;116,1;-100,0;4,21;0,01
'10/01/2022 11:25:25;16,6;17;1001,5;17,0;13,4;3,8;-14,3;1009,0;0,0;0,0;0,0;6,6;115,0;-100,0;4,21;0,01
