

New start of logging. Datetime: 2022.10.01_112457 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'10/01/2022 11:24:57;'052524011022;FIX;OK;68,0333099;43,14908;172,5;0,46;0,0
2;'10/01/2022 11:24:58;'052525011022;FIX;OK;68,0333176;43,14907;172,6;0,63;0,0
3;'10/01/2022 11:24:59;'052526011022;FIX;OK;68,0333252;43,14906;172,6;0,39;0,0
4;'10/01/2022 11:25:00;'052527011022;FIX;OK;68,0333328;43,14907;173,1;0,48;0,0
5;'10/01/2022 11:25:01;'052528011022;FIX;OK;68,0333252;43,14906;173,1;0,33;0,0
6;'10/01/2022 11:25:02;'052529011022;FIX;OK;68,0333328;43,14906;173,1;0,19;0,0
7;'10/01/2022 11:25:03;'052530011022;FIX;OK;68,0333405;43,14906;171,9;0,81;0,0
8;'10/01/2022 11:25:04;'052531011022;FIX;OK;68,0333405;43,14906;170,5;0,94;0,0
9;'10/01/2022 11:25:05;'052532011022;FIX;OK;68,0333481;43,14906;171,0;0,39;0,0
10;'10/01/2022 11:25:06;'052533011022;FIX;OK;68,0333633;43,14906;171,3;0,28;0,0
11;'10/01/2022 11:25:07;'052534011022;FIX;OK;68,0333405;43,14906;170,7;0,76;0,0
12;'10/01/2022 11:25:08;'052535011022;FIX;OK;68,0333405;43,14906;171,6;0,26;0,0
13;'10/01/2022 11:25:09;'052536011022;FIX;OK;68,0333405;43,14907;169,2;0,19;0,0
14;'10/01/2022 11:25:10;'052537011022;FIX;OK;68,0333405;43,14908;167,7;0,17;0,0
15;'10/01/2022 11:25:11;'052538011022;FIX;OK;68,0333481;43,14907;170,0;0,20;0,0
16;'10/01/2022 11:25:11;'052539011022;FIX;OK;68,0333481;43,14906;170,4;0,13;0,0
17;'10/01/2022 11:25:12;'052540011022;FIX;OK;68,0333557;43,14906;171,6;0,07;0,0
18;'10/01/2022 11:25:13;'052541011022;FIX;OK;68,0333481;43,14906;171,5;0,28;0,0
19;'10/01/2022 11:25:14;'052542011022;FIX;OK;68,0333481;43,14906;170,6;0,17;0,0
20;'10/01/2022 11:25:15;'052543011022;FIX;OK;68,0333405;43,14907;169,9;0,17;0,0
21;'10/01/2022 11:25:16;'052544011022;FIX;OK;68,0333557;43,14907;168,9;0,15;0,0
22;'10/01/2022 11:25:17;'052545011022;FIX;OK;68,0333481;43,14908;167,4;0,11;0,0
23;'10/01/2022 11:25:18;'052546011022;FIX;OK;68,0333328;43,14909;169,5;0,22;0,0
24;'10/01/2022 11:25:19;'052547011022;FIX;OK;68,0333405;43,14909;166,8;0,07;0,0
25;'10/01/2022 11:25:20;'052548011022;FIX;OK;68,0333405;43,14908;167,3;0,26;0,0
26;'10/01/2022 11:25:21;'052549011022;FIX;OK;68,0333328;43,14907;169,8;0,15;0,0
27;'10/01/2022 11:25:22;'052550011022;FIX;OK;68,0333328;43,14907;170,2;0,22;0,0
28;'10/01/2022 11:25:23;'052551011022;FIX;OK;68,0333405;43,14907;167,6;0,17;0,0
29;'10/01/2022 11:25:24;'052552011022;FIX;OK;68,0333633;43,14907;167,2;0,19;0,0
30;'10/01/2022 11:25:25;'052553011022;FIX;OK;68,0333633;43,14907;167,1;0,00;0,0
